ANO,MES,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO_TRATOR,CAMINHONETE,CAMIONETA,CHASSI_PLATAF,CICLOMOTOR,MICRO_ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,OUTROS,QUADRICICLO,REBOQUE,SEMI_REBOQUE,SIDE_CAR,TRATOR_ESTEI,TRATOR_RODAS,TRICICLO,UTILITARIO
2010,6,MORADA NOVA,10780,2149,0,377,19,687,122,0,6,38,6314,932,61,0,0,49,20,0,0,0,0,6
2010,6,MORAUJO,762,109,0,15,0,35,4,0,0,5,534,55,5,0,0,0,0,0,0,0,0,0
2010,6,MORRINHOS,2180,376,0,62,0,125,21,0,0,11,1286,280,13,0,0,2,0,0,0,0,0,4
2010,6,MUCAMBO,2276,273,0,30,0,85,10,0,0,16,1512,340,8,0,0,1,0,0,0,0,0,1
2010,6,MULUNGU,1007,148,0,51,1,43,10,0,0,5,724,18,3,0,0,4,0,0,0,0,0,0
2010,6,NOVA OLINDA,1779,324,0,71,1,128,24,0,1,26,1086,104,4,0,0,9,1,0,0,0,0,0
2010,6,NOVA RUSSAS,6458,1173,0,172,4,307,51,0,1,11,4206,500,5,0,0,15,3,0,0,0,1,9
2010,6,NOVO ORIENTE,5534,600,0,50,0,386,42,0,0,23,4069,342,8,0,0,8,0,0,0,0,1,5
2010,6,OCARA,3067,820,0,105,3,172,28,0,0,15,1830,41,32,0,0,10,8,0,0,0,0,3
2010,6,OROS,2581,480,0,101,4,215,20,0,0,19,1564,144,15,1,0,3,7,0,0,0,0,8
2010,6,PACAJUS,11079,4538,0,515,26,539,212,0,1,54,4209,673,140,0,0,118,17,3,0,0,1,33
2010,6,PACATUBA,5195,2466,0,134,15,204,124,1,4,73,2054,23,11,1,0,71,7,1,0,0,0,6
2010,6,PACOTI,1411,274,0,86,0,49,18,0,0,3,952,17,8,0,0,4,0,0,0,0,0,0
2010,6,PACUJA,1026,131,0,32,17,48,7,1,0,5,680,78,9,0,0,1,15,0,0,0,1,1
2010,6,PALHANO,1686,238,0,42,0,80,32,0,2,7,1174,95,11,0,0,5,0,0,0,0,0,0
